PModel,Task,OpType,Opt,InsCount,Timer,Time,LNum,AvTime,AbsErr,RelErr,TaskPerf
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,none,25,clock,0.000071,1,0.000394,0.000323,82.0,352112.68
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,none,25,clock,0.000016,2,0.000394,0.000378,95.9,1562500.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,none,25,clock,0.000016,3,0.000394,0.000378,95.9,1562500.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,none,25,clock,0.000016,4,0.000394,0.000378,95.9,1562500.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,none,25,clock,0.000014,5,0.000394,0.000380,96.4,1785714.29
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,none,25,clock,0.001347,6,0.000394,0.000953,241.7,18559.76
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,none,25,clock,0.003990,7,0.000394,0.003596,912.2,6265.66
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,none,25,clock,0.001246,8,0.000394,0.000852,216.1,20064.21
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,none,25,clock,0.000665,9,0.000394,0.000271,68.7,37593.98
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,none,25,clock,0.000139,10,0.000394,0.000255,64.7,179856.12
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,none,25,clock,0.000200,11,0.000394,0.000194,49.3,125000.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,none,25,clock,0.000020,12,0.000394,0.000374,94.9,1250000.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,none,25,clock,0.000019,13,0.000394,0.000375,95.2,1315789.47
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,none,25,clock,0.000017,14,0.000394,0.000377,95.7,1470588.24
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,none,25,clock,0.000016,15,0.000394,0.000378,95.9,1562500.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,none,25,clock,0.000019,16,0.000394,0.000375,95.2,1315789.47
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,none,25,clock,0.000017,17,0.000394,0.000377,95.7,1470588.24
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,none,25,clock,0.000016,18,0.000394,0.000378,95.9,1562500.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,none,25,clock,0.000024,19,0.000394,0.000370,93.9,1041666.67
